,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,경남-양산-2021-00167,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/20211027141047.jpg,[개] 라브라도 리트리버,흰갈색,2021(년생),30(Kg),보호중,M,U,흰갈색,20211027,하북면감리산길20,양산시 동물보호센터,055-392-5669,경상남도 양산시 동면 석산리 392 양산시농업기술센터
1,경남-거제-2021-01130,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271310574.jpg,[고양이] 한국 고양이,검정,2021(년생),0.3(Kg),보호중,Q,N,피부안좋음,20211027,아주로73해와루아파트,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소"
2,경남-거제-2021-01129,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271310229.jpg,[고양이] 한국 고양이,"흰색,연갈색",2021(년생),0.3(Kg),보호중,Q,N,피부안좋음,20211027,아주로73해와루아파트,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소"
3,경남-거제-2021-01128,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271110521.jpg,[고양이] 한국 고양이,"검정줄무늬,연갈색,흰색",2021(년생),0.8(Kg),보호중,Q,N,상태안좋음,20211027,고현동 리더스골프클럽,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소"
4,경남-거제-2021-01127,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110270910348.jpg,[개] 믹스견,"흰색,노랑",2019(년생),5(Kg),보호중,F,N,겁많으나 순한편,20211027,지세포 가는 길가 ,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소"
5,경남-사천-2021-00255,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271410489.jpg,[개] 믹스견,흰색,2021(년생),1.5(Kg),보호중,M,N,겁이 많음,20211027,구룡마을 인근,사천시 동물보호센터,055-831-3784,경상남도 사천시 용현면 진삼로 902  
6,경남-진주-2021-00528,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010774.jpg,[개] 믹스견,갈색+검정색,2021(년생),1.6(Kg),보호중,F,N,"순함,동배3마리",20211027,진주시 명석면 왕지리,진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) "
7,경남-진주-2021-00527,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010564.jpg,[개] 믹스견,검정색+갈색,2021(년생),2.0(Kg),보호중,F,N,"순함,동배3마리",20211027,진주시 명석면 왕지리,진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) "
8,경남-진주-2021-00526,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010212.jpg,[개] 믹스견,갈색,2021(년생),2.5(Kg),보호중,M,N,"순함,동배3마리",20211027,진주시 명석면 왕지리,진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) "
9,경북-군위-2021-00120,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271110327[1].jpg,[개] 빠삐용,"갈색,흰색",2020(년생),2(Kg),보호중,F,N,"귀 주변 털이 복슬하고, 사람을 잘 따르는 편.",20211027,군위군 효령면 오천리 34-3,우성동물병원,054-380-6183,경상북도 군위군 군위읍 중앙1길 17 (군위읍) 
10,경북-군위-2021-00119,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271110450.jpg,[개] 닥스훈트,검갈색,2021(년생),0.3(Kg),보호중,F,N,"네발이 갈색 털로 뒤덮혀 있고, 귀가 쳐져 있으며, 순함",20211027,군위군 군위읍 서금로 761,우성동물병원,054-380-6183,경상북도 군위군 군위읍 중앙1길 17 (군위읍) 
11,경북-경산-2021-00760,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271210601.jpg,[개] 믹스견,검갈색,2021(년생),2.84(Kg),보호중,F,N,"생후 90일령 추정, 예다인 아파트 다&#45790; 내에서 배회하여 구조, 경계가 심함",20211027,와촌 덕촌리,경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면) 
12,경북-경산-2021-00759,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010312.jpg,[고양이] 한국 고양이,삼색,2021(년생),1(Kg),보호중,F,N,"생후 100일령 추정, 이마트 앞 주차장에서 배회하여 구조",20211027,중산동,경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면) 
13,전남-진도-2021-00054,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271310931.jpg,[고양이] ,"황색,검정",2021(년생),1(Kg),보호중,F,U,택배상자에 담겨 유기됨,20211027,진도군 진도읍 조금시장 인근,진도개메디컬센터,061-540-6322,전라남도 진도군 진도읍 성죽골길 30 (진도읍) 진도개축산과
14,전남-완도-2021-00206,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271310182.png,[개] 믹스견,흰색,2018(년생),15(Kg),보호중,M,N,흰색 진도 믹스 ,20211027,금일읍 구동,유기동물임시보호센터,061-550-5741,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) 
15,전남-완도-2021-00205,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271310647.png,[개] 믹스견,흰색,2018(년생),15(Kg),보호중,F,N,흰색 진도 믹스 ,20211027,금일읍 착지리 마을광장,유기동물임시보호센터,061-550-5741,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) 
16,전북-남원-2021-00606,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271310882.png,[고양이] 한국 고양이,검은색 및 흰색,2021(년생),0.2(Kg),보호중,Q,N,탈진 상태,20211027,운봉읍 승전로 산 91-87,인월동물병원,063-636-2873,전라북도 남원시 인월면 인월로 64  
17,충남-서천-2021-00226,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271110711.jpg,[개] 믹스견,흰색,2021(년생),5(Kg),보호중,M,N,"강아지-2마리, 흰색의 단모견",20211027,충청남도 서천군 서천읍 서천향교길 9,서천군유기동물보호소,041-950-4390,충청남도 서천군 마산면 한마로 1189-19 
18,충남-서천-2021-00225,20211027,20211108,http://www.animal.go.kr/files/shelter/2021/10/202110271010284.jpg,[개] 믹스견,"흰색, 황색",2021(년생),5(Kg),보호중,M,N,"강아지 2마리-각 흰색, 황색 단모견",20211027,충청남도 서천군 서천읍 서천향교길 9,서천군유기동물보호소,041-950-4390,충청남도 서천군 마산면 한마로 1189-19 
